author_handle,month,day,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
ABC,2,17,0,86,178.04651162790697,15312,57.96511627906977,4985,351.5581395348837,30234,40.674418604651166,3498
ABC,2,17,1,9,365.8888888888889,3293,207.55555555555554,1868,794.6666666666666,7152,91.66666666666667,825
ABC,2,18,0,97,135.88659793814432,13181,70.65979381443299,6854,278.25773195876286,26991,28.989690721649485,2812
ABC,2,18,1,5,118.2,591,94.8,474,314.6,1573,34.6,173
ABC,2,19,0,83,148.46987951807228,12323,77.5421686746988,6436,286.06024096385545,23743,24.734939759036145,2053
ABC,2,19,1,1,651.0,651,286.0,286,1276.0,1276,51.0,51
ABC,2,20,0,75,198.45333333333335,14884,78.78666666666666,5909,398.46666666666664,29885,31.466666666666665,2360
ABC,2,20,1,6,450.3333333333333,2702,174.33333333333334,1046,1059.5,6357,41.0,246
ABC,2,21,0,67,199.2537313432836,13350,58.16417910447761,3897,323.7014925373134,21688,62.47761194029851,4186
ABC,2,21,1,8,54.75,438,33.625,269,149.875,1199,9.5,76
ABC,2,22,0,83,134.9277108433735,11199,42.01204819277108,3487,237.6024096385542,19721,23.349397590361445,1938
ABC,2,22,1,5,82.2,411,15.6,78,278.8,1394,10.4,52
ABC,2,23,0,80,202.875,16230,60.95,4876,410.2125,32817,37.4375,2995
ABC,2,23,1,8,319.0,2552,80.375,643,666.375,5331,118.75,950
ABC,2,24,0,80,211.5125,16921,78.025,6242,490.975,39278,44.3875,3551
ABC,2,24,1,10,146.7,1467,70.0,700,341.0,3410,46.9,469
ABC,2,25,0,85,218.42352941176472,18566,66.83529411764705,5681,548.9294117647058,46659,36.63529411764706,3114
ABC,2,25,1,9,152.77777777777777,1375,54.55555555555556,491,474.0,4266,28.555555555555557,257
ABC,2,26,0,95,114.23157894736842,10852,51.22105263157895,4866,237.68421052631578,22580,18.621052631578948,1769
ABC,2,26,1,3,766.3333333333334,2299,74.33333333333333,223,1323.6666666666667,3971,181.33333333333334,544
ABC,2,27,0,136,537.875,73151,59.6764705882353,8116,1026.1691176470588,139559,88.1029411764706,11982
ABC,2,27,1,47,625.5744680851063,29402,47.59574468085106,2237,1274.127659574468,59884,94.7872340425532,4455
ABC,2,28,0,89,174.03370786516854,15489,78.42696629213484,6980,319.5056179775281,28436,50.764044943820224,4518
ABC,2,28,1,4,144.75,579,19.75,79,341.75,1367,25.25,101
ABC,3,1,0,132,166.8409090909091,22023,65.39393939393939,8632,366.5378787878788,48383,33.128787878787875,4373
ABC,3,1,1,8,257.875,2063,70.0,560,553.875,4431,41.25,330
ABC,3,2,0,93,226.5483870967742,21069,65.24731182795699,6068,441.3333333333333,41044,43.29032258064516,4026
ABC,3,2,1,5,572.8,2864,171.4,857,1401.4,7007,732.6,3663
ABC,3,3,0,84,215.16666666666666,18074,87.8452380952381,7379,439.57142857142856,36924,44.61904761904762,3748
ABC,3,3,1,5,231.2,1156,26.0,130,692.8,3464,30.4,152
ABC,3,4,0,77,154.4805194805195,11895,64.67532467532467,4980,281.1038961038961,21645,26.116883116883116,2011
ABC,3,4,1,6,178.5,1071,90.83333333333333,545,374.6666666666667,2248,24.666666666666668,148
ABC,3,5,0,75,257.24,19293,91.84,6888,455.8933333333333,34192,34.44,2583
ABC,3,5,1,7,77.71428571428571,544,62.285714285714285,436,128.85714285714286,902,24.428571428571427,171
ABC,3,6,0,75,209.30666666666667,15698,71.30666666666667,5348,458.38666666666666,34379,36.18666666666667,2714
ABC,3,6,1,8,204.375,1635,31.75,254,442.375,3539,35.125,281
ABC,3,7,0,97,423.6082474226804,41090,70.6701030927835,6855,858.2783505154639,83253,87.69072164948453,8506
ABC,3,7,1,3,279.0,837,54.0,162,544.3333333333334,1633,70.33333333333333,211
ABC,3,8,0,97,184.8041237113402,17926,55.02061855670103,5337,425.35051546391753,41259,70.31958762886597,6821
ABC,3,8,1,5,39.0,195,36.2,181,87.0,435,7.6,38
ABC,3,9,0,94,421.78723404255317,39648,63.340425531914896,5954,831.3510638297872,78147,127.56382978723404,11991
ABC,3,9,1,6,95.66666666666667,574,67.5,405,118.0,708,21.0,126
ABC,3,10,0,90,169.38888888888889,15245,51.611111111111114,4645,317.44444444444446,28570,32.15555555555556,2894
ABC,3,10,1,6,269.3333333333333,1616,35.833333333333336,215,646.3333333333334,3878,36.166666666666664,217
ABC,3,11,0,78,108.43589743589743,8458,44.06410256410256,3437,241.73076923076923,18855,17.076923076923077,1332
ABC,3,11,1,4,103.25,413,15.75,63,148.25,593,13.75,55
ABC,3,12,0,52,132.76923076923077,6904,44.38461538461539,2308,303.5576923076923,15785,19.596153846153847,1019
ABC,3,12,1,6,165.0,990,25.0,150,209.16666666666666,1255,15.833333333333334,95
ABC,3,13,0,50,498.32,24916,86.7,4335,925.78,46289,79.74,3987
ABC,3,13,1,2,68.0,136,52.5,105,60.5,121,23.0,46
ABC,3,14,0,79,189.84810126582278,14998,48.835443037974684,3858,335.67088607594934,26518,35.43037974683544,2799
ABC,3,14,1,7,132.71428571428572,929,20.571428571428573,144,303.7142857142857,2126,20.285714285714285,142
ABC,3,15,0,84,266.1547619047619,22357,41.595238095238095,3494,436.35714285714283,36654,42.48809523809524,3569
ABC,3,15,1,5,135.2,676,51.6,258,259.4,1297,29.0,145
ABC,3,16,0,79,145.54430379746836,11498,61.177215189873415,4833,265.1518987341772,20947,37.78481012658228,2985
ABC,3,16,1,11,402.8181818181818,4431,83.9090909090909,923,882.0,9702,55.81818181818182,614
ABC,3,17,0,91,135.8131868131868,12359,45.59340659340659,4149,259.15384615384613,23583,25.75824175824176,2344
ABC,3,17,1,6,222.5,1335,73.83333333333333,443,592.8333333333334,3557,34.666666666666664,208
ABC,3,18,0,71,186.66197183098592,13253,62.04225352112676,4405,300.19718309859155,21314,39.098591549295776,2776
ABC,3,18,1,4,161.5,646,74.25,297,662.5,2650,37.75,151
ABC,3,19,0,73,122.0,8906,60.58904109589041,4423,211.21917808219177,15419,19.575342465753426,1429
ABC,3,19,1,2,95.0,190,47.5,95,146.0,292,14.5,29
ABC,3,20,0,94,194.91489361702128,18322,56.0,5264,363.8510638297872,34202,33.5,3149
ABC,3,20,1,5,84.6,423,44.8,224,202.8,1014,22.4,112
ABC,3,21,0,85,155.0705882352941,13181,53.64705882352941,4560,284.98823529411766,24224,30.564705882352943,2598
ABC,3,21,1,4,146.5,586,53.5,214,315.5,1262,16.25,65
ABC,3,22,0,105,162.06666666666666,17017,35.50476190476191,3728,263.2952380952381,27646,24.238095238095237,2545
ABC,3,22,1,5,231.4,1157,34.4,172,443.2,2216,37.0,185
ABC,3,23,0,77,129.1038961038961,9941,57.935064935064936,4461,265.06493506493507,20410,20.844155844155843,1605
ABC,3,23,1,2,1643.5,3287,78.0,156,3502.0,7004,198.5,397
ABC,3,24,0,73,185.78082191780823,13562,61.657534246575345,4501,436.6575342465753,31876,34.04109589041096,2485
ABC,3,24,1,11,98.54545454545455,1084,148.0909090909091,1629,219.45454545454547,2414,53.72727272727273,591
ABC,3,25,0,54,115.57407407407408,6241,69.85185185185185,3772,230.07407407407408,12424,34.68518518518518,1873
ABC,3,25,1,8,123.25,986,22.875,183,423.625,3389,16.0,128
ABC,3,26,0,69,167.91304347826087,11586,66.98550724637681,4622,282.3623188405797,19483,30.507246376811594,2105
ABC,3,26,1,1,129.0,129,17.0,17,652.0,652,27.0,27
ABC,3,27,0,83,184.78313253012047,15337,59.06024096385542,4902,353.2409638554217,29319,41.51807228915663,3446
ABC,3,27,1,6,82.5,495,13.0,78,186.0,1116,11.333333333333334,68
ABC,3,28,0,83,157.0722891566265,13037,55.81927710843374,4633,307.9277108433735,25558,35.024096385542165,2907
ABC,3,28,1,4,91.5,366,25.25,101,122.0,488,12.75,51
ABC,3,29,0,93,143.94623655913978,13387,51.29032258064516,4770,270.60215053763443,25166,26.623655913978496,2476
ABC,3,29,1,3,48.333333333333336,145,42.666666666666664,128,48.0,144,7.333333333333333,22
ABC,3,30,0,84,152.32142857142858,12795,43.023809523809526,3614,294.9761904761905,24778,25.785714285714285,2166
ABC,3,30,1,8,53.125,425,17.0,136,135.625,1085,19.125,153
ABC,3,31,0,94,124.23404255319149,11678,36.91489361702128,3470,211.11702127659575,19845,25.117021276595743,2361
ABC,3,31,1,4,93.5,374,11.75,47,306.75,1227,17.25,69
ABC,4,1,0,69,145.6231884057971,10048,45.98550724637681,3173,279.72463768115944,19301,18.18840579710145,1255
ABC,4,1,1,4,85.25,341,11.75,47,337.0,1348,10.5,42
ABC,4,2,0,75,97.50666666666666,7313,42.46666666666667,3185,151.54666666666665,11366,14.133333333333333,1060
ABC,4,2,1,9,134.0,1206,52.77777777777778,475,274.3333333333333,2469,16.0,144
ABC,4,3,0,85,126.10588235294118,10719,49.38823529411765,4198,263.8705882352941,22429,20.176470588235293,1715
ABC,4,3,1,8,102.625,821,34.625,277,239.125,1913,11.625,93
ABC,4,4,0,96,145.86458333333334,14003,61.958333333333336,5948,241.57291666666666,23191,38.604166666666664,3706
ABC,4,4,1,5,456.0,2280,38.2,191,1138.8,5694,58.0,290
ABC,4,5,0,91,188.1098901098901,17118,49.75824175824176,4528,341.97802197802196,31120,34.38461538461539,3129
ABC,4,5,1,4,153.5,614,46.0,184,381.25,1525,13.75,55
ABC,4,6,0,92,182.81521739130434,16819,51.59782608695652,4747,318.9130434782609,29340,48.119565217391305,4427
ABC,4,6,1,5,94.4,472,13.6,68,280.2,1401,12.8,64
ABC,4,7,0,90,286.2111111111111,25759,53.15555555555556,4784,392.6777777777778,35341,45.74444444444445,4117
ABC,4,7,1,6,80.83333333333333,485,10.833333333333334,65,232.66666666666666,1396,6.0,36
ABC,4,8,0,49,216.42857142857142,10605,62.93877551020408,3084,425.2857142857143,20839,32.0,1568
ABC,4,8,1,4,50.0,200,29.25,117,166.5,666,6.5,26
ABC,4,9,0,63,143.984126984127,9071,53.714285714285715,3384,261.968253968254,16504,17.41269841269841,1097
ABC,4,9,1,1,164.0,164,35.0,35,684.0,684,9.0,9
ABC,4,10,0,82,141.67073170731706,11617,44.68292682926829,3664,230.82926829268294,18928,23.79268292682927,1951
ABC,4,10,1,3,6854.666666666667,20564,81.0,243,11379.333333333334,34138,1148.0,3444
ABC,4,11,0,85,129.68235294117648,11023,55.31764705882353,4702,174.25882352941176,14812,40.01176470588236,3401
ABC,4,11,1,2,7806.5,15613,364.0,728,10813.5,21627,1547.0,3094
ABC,4,12,0,84,178.9047619047619,15028,51.607142857142854,4335,283.85714285714283,23844,36.76190476190476,3088
ABC,4,12,1,5,90.0,450,51.6,258,141.4,707,16.8,84
ABC,4,13,0,82,207.8658536585366,17045,55.670731707317074,4565,360.3414634146341,29548,33.71951219512195,2765
ABC,4,13,1,7,164.85714285714286,1154,33.714285714285715,236,175.0,1225,42.42857142857143,297
ABC,4,14,0,77,195.15584415584416,15027,36.81818181818182,2835,369.7922077922078,28474,26.623376623376622,2050
ABC,4,14,1,9,137.77777777777777,1240,24.11111111111111,217,235.77777777777777,2122,13.0,117
ABC,4,15,0,73,186.65753424657535,13626,48.75342465753425,3559,397.32876712328766,29005,34.64383561643836,2529
ABC,4,15,1,4,79.5,318,25.0,100,158.25,633,32.25,129
ABC,4,16,0,67,98.28358208955224,6585,33.28358208955224,2230,197.92537313432837,13261,12.194029850746269,817
ABC,4,16,1,1,141.0,141,16.0,16,206.0,206,13.0,13
ABC,4,17,0,59,160.11864406779662,9447,38.52542372881356,2273,298.6101694915254,17618,32.57627118644068,1922
ABC,4,17,1,3,64.33333333333333,193,13.333333333333334,40,221.66666666666666,665,13.0,39
ABC,4,18,0,66,173.22727272727272,11433,45.86363636363637,3027,374.5,24717,30.681818181818183,2025
ABC,4,18,1,5,133.0,665,14.2,71,371.4,1857,15.6,78
ABC,4,19,0,77,432.68831168831167,33317,64.28571428571429,4950,911.012987012987,70148,124.06493506493507,9553
ABC,4,19,1,11,149.72727272727272,1647,36.54545454545455,402,339.8181818181818,3738,29.0,319
ABC,4,20,0,75,169.10666666666665,12683,36.84,2763,344.48,25836,25.426666666666666,1907
ABC,4,20,1,9,91.0,819,35.111111111111114,316,216.33333333333334,1947,16.11111111111111,145
ABC,4,21,0,78,145.12820512820514,11320,41.26923076923077,3219,355.9871794871795,27767,21.076923076923077,1644
ABC,4,21,1,9,86.44444444444444,778,44.22222222222222,398,251.33333333333334,2262,15.333333333333334,138
ABC,4,22,0,66,133.28787878787878,8797,41.77272727272727,2757,239.9848484848485,15839,21.060606060606062,1390
ABC,4,22,1,4,98.0,392,20.25,81,224.25,897,13.0,52
ABC,4,23,0,72,121.63888888888889,8758,61.708333333333336,4443,215.86111111111111,15542,21.40277777777778,1541
ABC,4,23,1,4,162.25,649,70.75,283,479.5,1918,25.5,102
ABC,4,24,0,90,177.05555555555554,15935,43.266666666666666,3894,308.4,27756,28.81111111111111,2593
ABC,4,24,1,7,113.14285714285714,792,12.714285714285714,89,271.0,1897,13.285714285714286,93
ABC,4,25,0,83,110.93975903614458,9208,45.9277108433735,3812,220.40963855421685,18294,20.06024096385542,1665
ABC,4,25,1,5,71.0,355,34.2,171,179.8,899,16.6,83
ABC,4,26,0,80,107.35,8588,33.05,2644,186.45,14916,18.6125,1489
ABC,4,26,1,10,154.9,1549,44.4,444,334.5,3345,18.5,185
ABC,4,27,0,85,108.48235294117647,9221,36.04705882352941,3064,198.6,16881,21.36470588235294,1816
ABC,4,27,1,4,103.75,415,9.0,36,292.0,1168,16.25,65
ABC,4,28,0,66,757.9090909090909,50022,92.34848484848484,6095,1484.8636363636363,98001,423.2878787878788,27937
ABC,4,28,1,7,112.14285714285714,785,76.42857142857143,535,174.85714285714286,1224,41.285714285714285,289
ABC,4,29,0,66,104.66666666666667,6908,58.54545454545455,3864,197.83333333333334,13057,26.060606060606062,1720
ABC,4,29,1,4,63.5,254,58.0,232,119.75,479,28.25,113
ABC,4,30,0,79,119.29113924050633,9424,55.9873417721519,4423,184.8860759493671,14606,28.60759493670886,2260
ABC,4,30,1,1,19.0,19,11.0,11,56.0,56,4.0,4
