author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
BreitbartNews,12,1,481,191.3991683991684,92063,146.78794178794178,70605,474.4760914760915,228223,22.463617463617464,10805
CBSNews,1,0,2056,109.9421206225681,226041,41.04912451361868,84397,181.76605058365757,373711,23.419260700389106,48150
CBSNews,1,1,399,119.09273182957394,47518,39.423558897243105,15730,225.66917293233084,90042,19.664160401002505,7846
CBSNews,2,0,1807,100.36137244050913,181353,45.28555617044826,81831,151.33314886552296,273459,24.220807969009407,43767
CBSNews,2,1,237,71.20675105485232,16876,29.185654008438817,6917,121.16455696202532,28716,33.856540084388186,8024
CBSNews,3,0,2301,77.64232942199044,178655,41.28335506301608,94993,116.5858322468492,268264,17.251195132551064,39695
CBSNews,3,1,377,126.11936339522546,47547,45.07427055702918,16993,224.58620689655172,84669,26.90185676392573,10142
CBSNews,4,0,2450,70.6938775510204,173200,34.773061224489794,85194,97.52612244897959,238939,17.859591836734694,43756
CBSNews,4,1,307,55.16938110749186,16937,22.7557003257329,6986,98.80456026058631,30333,11.498371335504887,3530
CBSNews,5,0,2704,75.31028106508876,203639,38.02514792899408,102820,105.4844674556213,285230,19.602810650887573,53006
CBSNews,5,1,302,67.22847682119205,20303,30.443708609271525,9194,114.88741721854305,34696,15.85430463576159,4788
CBSNews,6,0,2759,91.01920985864443,251122,35.645523740485686,98346,138.59623051830374,382387,23.46901051105473,64751
CBSNews,6,1,263,118.66539923954373,31209,40.39163498098859,10623,189.6045627376426,49866,22.437262357414447,5901
CBSNews,7,0,2739,56.6078860898138,155049,36.341000365096754,99538,90.11938663745893,246837,17.36838262139467,47572
CBSNews,7,1,237,63.46413502109704,15041,31.30801687763713,7420,121.45147679324894,28784,13.843881856540085,3281
CBSNews,8,0,2856,70.15721288515407,200369,37.049369747899156,105813,105.77871148459384,302104,21.735994397759104,62078
CBSNews,8,1,368,85.32336956521739,31399,29.5625,10879,142.5679347826087,52465,19.02173913043478,7000
CBSNews,9,0,2682,66.73639075316927,178987,32.08016405667412,86039,97.07457121551082,260354,13.2524235645041,35543
CBSNews,9,1,272,93.3125,25381,20.985294117647058,5708,148.02573529411765,40263,12.088235294117647,3288
CBSNews,10,0,2780,66.90863309352518,186006,37.74640287769784,104935,106.07158273381295,294879,17.221942446043165,47877
CBSNews,10,1,305,54.82622950819672,16722,21.37049180327869,6518,90.54754098360655,27617,8.783606557377048,2679
CBSNews,11,0,2737,57.925100474972595,158541,33.385458531238584,91376,87.24808184143222,238798,18.67409572524662,51111
CBSNews,11,1,360,47.05555555555556,16940,27.377777777777776,9856,77.475,27891,11.808333333333334,4251
CBSNews,12,0,2622,56.85087719298246,149063,32.853165522501904,86141,96.10526315789474,251988,12.98932112890923,34058
CBSNews,12,1,343,50.011661807580175,17154,23.026239067055393,7898,96.25072886297376,33014,8.049562682215743,2761
CNN,1,0,3284,442.58008526187575,1453433,136.14646772228988,447105,893.3276492082825,2933688,95.69305724725945,314256
CNN,1,1,816,498.1875,406521,99.16053921568627,80915,992.156862745098,809600,91.5845588235294,74733
CNN,2,0,2848,409.3065308988764,1165705,167.93363764044943,478275,874.1113061797753,2489469,103.40625,294501
CNN,2,1,712,428.52106741573033,305107,135.13623595505618,96217,1000.9564606741573,712681,85.66151685393258,60991
CNN,3,0,3405,310.57856093979444,1057520,141.5964757709251,482136,625.0895741556534,2128430,70.63348017621145,240507
CNN,3,1,799,326.7221526908636,261051,100.39549436795996,80216,669.1927409261577,534685,67.04255319148936,53567
CNN,4,0,2973,313.17221661621255,931061,117.44029599730912,349150,593.6367305751766,1764882,63.514295324587955,188828
CNN,4,1,689,342.97822931785197,236312,82.40928882438317,56780,713.8722786647315,491858,70.31349782293178,48446
CNN,5,0,3449,365.65294288199476,1261137,142.58567700782837,491778,740.0617570310235,2552473,69.93186430849522,241195
CNN,5,1,704,329.8011363636364,232180,130.8849431818182,92143,712.5383522727273,501627,71.46448863636364,50311
CNN,6,0,3544,247.44215575620768,876935,148.06602708803612,524746,533.3109480812641,1890054,59.57110609480813,211120
CNN,6,1,714,241.49299719887955,172426,123.22689075630252,87984,581.5854341736695,415252,76.6470588235294,54726
CNN,7,0,3342,206.75284260921603,690968,164.69449431478156,550409,459.8153800119689,1536703,56.474566128067025,188738
CNN,7,1,795,226.12075471698114,179766,127.81509433962265,101613,516.5056603773585,410622,51.84905660377358,41220
CNN,8,0,3382,259.182436428149,876555,149.0505617977528,504089,591.2392075694855,1999571,57.3929627439385,194103
CNN,8,1,798,406.140350877193,324100,143.95363408521303,114875,874.2518796992481,697653,84.43358395989975,67378
CNN,9,0,3244,284.6229963008631,923317,118.24815043156597,383597,575.8905672009864,1868189,50.847410604192355,164949
CNN,9,1,790,280.54556962025316,221631,98.78354430379747,78039,573.093670886076,452744,47.3873417721519,37436
CNN,10,0,3109,237.43936957220973,738199,134.20263750402057,417236,510.8639433901576,1588276,52.2975233193953,162593
CNN,10,1,692,264.28757225433526,182887,121.17341040462428,83852,631.4132947976879,436938,53.08092485549133,36732
CNN,11,0,3123,201.06532180595582,627927,115.65994236311239,361206,456.86519372398334,1426790,48.60198527057317,151784
CNN,11,1,703,195.87766714082503,137702,108.30440967283073,76138,448.79943100995735,315506,57.71977240398293,40577
CNN,12,0,3007,239.73794479547723,720892,134.9527768540073,405803,595.2234785500499,1789837,57.44562687063519,172739
CNN,12,1,874,276.48970251716247,241652,105.87986270022883,92539,714.3306636155606,624325,45.91762013729977,40132
FoxNews,1,0,2634,304.45330296127565,801930,183.93697798025815,484490,1009.9635535307517,2660244,52.11465451784358,137270
FoxNews,1,1,781,356.4110115236876,278357,195.36747759282972,152582,1315.96542893726,1027769,50.71702944942381,39610
FoxNews,2,0,2336,345.52910958904107,807156,229.58133561643837,536302,1159.8390410958905,2709384,58.6228595890411,136943
FoxNews,2,1,675,436.89185185185187,294902,244.0311111111111,164721,1681.368888888889,1134924,56.41037037037037,38077
FoxNews,3,0,2640,289.2526515151515,763627,191.4537878787879,505438,875.3325757575758,2310878,42.13939393939394,111248
FoxNews,3,1,857,370.022170361727,317109,218.29638273045506,187080,1208.5507584597433,1035728,45.2730455075846,38799
FoxNews,4,0,2179,257.21753097751264,560477,162.43827443781552,353953,726.9628269848554,1584052,40.11656723267554,87414
